#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T16:07:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5defc2ae0d20 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJ/795/149/table1,J/ApJ/795/149/table2
#-nav=cat:J/ApJ/795/149&tab:{J/ApJ/795/149/table1}&tab:{J/ApJ/795/149/table2}&key:source=J/ApJ/795/149&HTTPPRM:&&-ref=VIZ5defc2ae0d20&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=HJD&-out=Obs&-out=FC&-out=e_FC&-out=FHb&-out=e_FHb&-out=FHeII&-out=e_FHeII&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/795/149/table1,J/ApJ/795/149/table2
#-source=J/ApJ/795/149/table1 J/ApJ/795/149/table2
#-out=HJD
#-out=Obs
#-out=FC
#-out=e_FC
#-out=FHb
#-out=e_FHb
#-out=FHeII
#-out=e_FHeII
#
#INFO CatalogsExamined=2 
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_17950149
#Name: J/ApJ/795/149
#Title: Reverberation mapping of the Seyfert 1 NGC 7469 (Peterson+, 2014)
#Table J_ApJ_795_149_table1:
#Name: J/ApJ/795/149/table1
#Title: Continuum Fluxes
#---Details of Columns:
    HJD (d)             (F8.3)  Heliocentric Julian Date (HJD-2450000) [ucd=time.epoch]
    Obs                 (A1)    Observatory code (1) [ucd=meta.code;instr.obsty]
    FC (10-17W/m2/nm)   (F6.3)  Continuum flux at 5100 Angstroms (2) [ucd=phot.flux.density;em.opt]
    e_FC (10-17W/m2/nm) (F6.3)  Uncertainty in FC (2) [ucd=stat.error]
-------- - ------ ------
                  e     
         O FC (1  _FC (1
         b 0-17W/ 0-17W/
HJD (d)  s m2/nm) m2/nm)
-------- - ------ ------
5430.430 C 14.900  0.170
5430.780 S 14.880  0.020
5431.420 C 14.660  0.150
5432.410 C 15.130  0.160
5433.370 C 15.360  0.250
5436.390 C 15.340  0.150
5437.340 W 15.430  0.020
5437.400 C 15.750  0.130
5437.790 S 15.530  0.010
5438.360 C 15.510  0.210
5438.390 W 15.460  0.020
5438.810 S 15.460  0.010
5439.300 W 15.310  0.020
5439.420 C 15.480  0.130
5439.770 S 15.530  0.020
5440.520 W 15.820  0.020
5440.801 M 16.470  0.232
5441.763 M 16.040  0.226
5442.290 W 16.040  0.020
5443.390 W 15.960  0.020
5443.820 M 15.920  0.224
5444.270 W 16.130  0.020
5444.330 C 16.000  0.110
5444.790 S 16.150  0.010
5445.310 C 16.420  0.120
5445.779 M 16.430  0.232
5445.830 S 16.330  0.020
5446.440 W 16.320  0.020
5446.470 C 16.910  0.080
5446.787 M 16.370  0.231
5447.430 C 16.440  0.190
5447.500 W 16.680  0.020
5447.767 M 17.430  0.246
5447.770 S 16.570  0.010
5448.320 W 16.600  0.020
5448.420 C 16.210  0.110
5449.300 W 16.530  0.020
5449.767 M 16.980  0.239
5450.260 W 16.480  0.020
5450.390 C 16.560  0.140
5450.758 M 16.870  0.238
5451.440 C 16.630  0.130
5452.390 C 16.540  0.140
5452.773 M 16.790  0.237
5453.390 C 16.580  0.150
5453.760 S 16.710  0.010
5454.270 W 16.370  0.020
5454.380 C 16.510  0.130
5454.698 M 16.790  0.237
5455.370 C 16.570  0.130
5455.696 M 16.570  0.234
5455.750 S 16.710  0.020
5456.390 C 16.660  0.110
5456.744 M 16.750  0.236
5457.310 C 16.890  0.140
5457.695 M 16.700  0.235
5457.730 S 16.980  0.020
5458.310 W 16.920  0.020
5458.340 C 16.890  0.180
5458.780 S 16.860  0.020
5459.250 W 16.910  0.030
5459.360 C 16.730  0.160
5459.740 S 16.950  0.020
5460.370 C 16.790  0.210
5462.300 C 17.020  0.370
5463.310 C 16.750  0.210
5464.300 C 16.690  0.250
5464.720 S 16.890  0.020
5465.300 C 16.780  0.210
5465.720 S 16.890  0.030
5466.260 W 16.640  0.020
5466.400 C 16.730  0.160
5467.270 W 16.700  0.020
5467.690 S 17.020  0.020
5468.350 W 17.030  0.020
5468.400 C 16.800  0.150
5468.740 S 17.120  0.020
5469.350 W 17.140  0.020
5469.710 S 17.120  0.020
5469.746 M 16.840  0.237
5470.340 W 16.880  0.020
5470.710 S 17.220  0.020
5470.757 M 17.050  0.240
5471.320 W 16.620  0.020
5471.330 C 16.800  0.130
5471.710 S 17.080  0.020
5471.791 M 17.190  0.242
5472.350 W 17.000  0.020
5472.830 M 17.280  0.244
5473.340 W 16.910  0.020
5473.718 M 17.070  0.241
5473.740 S 17.100  0.020
5474.430 W 17.230  0.020
5475.340 C 16.770  0.160
5475.660 S 17.080  0.010
5476.280 W 17.010  0.020
5476.630 S 17.110  0.020
5477.150 T 17.020  0.010
5477.360 W 17.040  0.020
5477.660 S 17.130  0.020
5477.696 M 17.180  0.242
5478.690 M 17.140  0.242
5478.710 S 17.220  0.020
5479.200 T 16.990  0.010
5479.340 W 16.990  0.020
5479.621 M 16.980  0.239
5479.660 S 17.160  0.020
5480.390 W 17.490  0.020
5480.670 S 17.290  0.020
5480.683 M 17.320  0.244
5481.200 W 17.180  0.020
5481.620 S 17.110  0.020
5481.675 M 17.220  0.243
5482.180 T 17.120  0.010
5482.310 W 17.060  0.020
5482.340 C 16.990  0.160
5482.668 M 17.190  0.242
5483.340 W 16.810  0.020
5483.360 C 17.040  0.130
5483.640 S 17.320  0.020
5484.130 T 17.030  0.010
5484.300 W 16.960  0.020
5484.320 C 16.960  0.110
5484.680 S 17.240  0.020
5485.110 T 17.020  0.010
5485.310 W 17.250  0.020
5485.630 S 17.260  0.020
5485.685 M 16.890  0.238
